# https://wiki.pcsx2.net/Complete_List_of_Games + https://wiki.pcsx2.net/Complete_List_of_Demos_and_Tool_Discs
# Title;ID
!Que Pasa Neng!;SLES-54604
.hack//Fragment;SLPS-25527
Shine: Kotoba o Tsumuide;SLPM-65120, SLPM-65119 (Limited Edition w/ Drama CD)
Shining Force Exa;SLUS-21567 SLPM-66646, SLPM-74260 (PlayStation 2 the Best)
Shining Force Neo;SLUS-21206 SLPM-65908
Shining Tears;SLUS-21063 SLPM-65773, SLPM-74218 (PlayStation 2 the Best), SLKA-25217 (BigHit, Korea), SLAJ-25056
Shining Wind;SLPM-66671, SLKA-25215, SLPM-74261 (PlayStation 2 the Best)
Shinjuku no Ookami;SLPS-25916
Shinki Gensou: Spectral Souls II;SLPM-65861, SLPM-65860 (Limited Edition), SLPM-66715 (IF Collection Re-Release)
Shinkon Gattai Godannar!!;SLPS-20380
Shinkyoku Soukai Polyphonica: 0-4 Wa Full Pack;SLPM-66977
Shinkyoku Soukai Polyphonica: After School;SLPM-55270
Shinkyouku Soukai Polyphonica;SLPM-66743
Shinkyouku Soukai Polyphonica: 3&4 Hanashi Kanketsuhen;SLPM-66909
Shinkyouku Soukai Polyphonica: The Black ~Episode 1&2 CS Edition~;SLPM-55095
Shinobi;SLUS-20459, SLUS-28016 (Trade Demo), NPUD-20459 (PS2 Classics) SCES-51428, SCED-51601 (Demo) SLPM-65200, SLKA-25021 (Korea), SLPM-74415 (PlayStation 2 the Best), SCAJ-25002, SLAJ-25002, SLPM-60192 (Trial)
Shinobido Takumi;SLPM-66358
Shinobido: Way Of The Ninja;SCES-53931 SLPM-66091, SLKA-25389 (Korea), SLPM-66556 (Spike the Best)
Shinseiki Evangelion 2: Evangelions;SLPS-25299, SLKA-25103
Shinseiki Evangelion Typing E-Keikaku;SLPS-20094 (TVWare Series)
Shinseiki Evangelion: Ayanami Ikusei Keikaku with Asuka Hokan Keikaku;SLPM-65340, SLPM-65334 (Limited Edition), SLPM-66097 (Broccoli Best)
Shinseiki Evangelion: Battle Orchestra;SLPM-66763, PBGP-0057 (Deluxe Pack), SLPM-66957 (Broccoli Best Quality)
Shinseiki Evangelion: Koutetsu no Girlfriend Special Edition;SLPM-66336, CF00-22006 (Best Hit Selection)
Shinseiki GPX Cyber Formula: Road to the Infinity;SLPS-25307
Shinseiki GPX Cyber Formula: Road to the Infinity 2;SLPS-25541
Shinseiki GPX Cyber Formula: Road to the Infinity 3;SLPS-25695
Shinseiki GPX Cyber Formula: Road to the Infinity 4;SLPS-25814
Shinseiki Yuusha Taisen;SLPM-65821
Shinten Makai: Generation of Chaos V;SLPM-66055, SLPM-66054 (Limited Edition), SLPM-66493 (IF Collection)
Shirachuu Tankenbu;SLPM-65328, TCPS-10070, SLKA-25109 (Korea), SLPM-65660 (Taito Best), TCPS-10090 (Taito Best)
Shirogane no Soleil: Contract to the Future - Mirai e no Keiyaku;SLPM-55026, SLPM-55025 (Limited Edition), SLPM-55201 (Russel Games Best)
Shirogane no Torikago: The Angels with Strange Wings;SLPM-66150, SLPM-66149 (Limited Edition)
Shogi;SLPM-62306 (SuperLite 2000 Table)
Shogi 4;SLPS-20387 (Value 2000 Series)
Shogi World Champion Gekihashi 2;SLPS-20252, SLPS-20326 (Mycom Best)
Shooting Love: Trizeal;SLPM-62726
Short Track Racing: Trading Paint;SLUS-21857
Shoubi no Ki ni Shoubi no Hanasaku;SLPM-66390
Shoujo Mahou Gaku Little Witch Romanesque;SLPM-66633
Shoujo Yoshitsuneden;SLPM-65364, SLPM-65363 (Special Version), SLPM-66041 (Wellmade the Best)
Shoujo Yoshitsuneden 2;SLPM-65989, SLPM-65988, SLPM-62619 (Limited Edition)
Shoukan Shoujo: Elemental Girl Calling;SLPM-66872, SLPM-66871 (DX Pack)
Shounen Onmyouji: Tsubasa Yoima, Ten e Kaere;SLPM-66730, SLPM-66729 (Deluxe Box)
Showdown: Legends of Wrestling;SLUS-21017 SLES-52579 SLKA-25204
Shox;SLUS-20533 SLES-51144, SLES-51250, SLES-51251 SLPS-20246, SLPM-64524 (Korea)
Shrek 2;SLUS-20745, SLUS-20745GH (Greatest Hits) SLES-52457, SLES-52379, SLES-52380, SLES-52381, SLES-52382, SLES-52383, SLES-52379/P (Platinum), SLES-52383/P (Platinum: The Best of PlayStation 2) SLPM-65697
Shrek's Carnival Craze;SLUS-21790 SLES-55329, SLES-55460
Shrek: Super Party;SLUS-20516 SLES-51382, SLES-51462
Shuffle! On the Stage;SLPM-66134, SLPM-66133 (DX Pack), SLPM-66806 (Kadokawa the Best)
Shuumatsu Shoujo Gensou Alicematic Apocalypse;SLPM-66997, SLPM-66996 (Limited Edition), SLPM-55202 (Russel Games Best)
Sidewinder MAX;SLPS-25018, SLPS-73407 (PlayStation 2 the Best), SLPM-60128 (Trial)
Silent Hill 2;SLUS-20228, SLUS-20228GH (Director's Cut, Greatest Hits) SLES-50382 (Special 2 Disc Set), SLES-51156 (Director's Cut, Platinum) SLPM-65051, VW047-J1, SLPM-65098 (Director's Cut), VW084-J1 (Director's Cut), SLKA-25001 (Korea), SLPM-65341 (Director's Cut, Konami the Best), VW084-J2 (Director's Cut, Konami the Best), SLPM-65631 (Director's Cut, Konami Dendou Collection), VW084-J4 (Director's Cut, Konami Dendou Collection), SLPM-61009 (Trial)
Silent Hill 3;SLUS-20622 SLES-51434 SLPM-65257, VW127-J1, SLKA-25065 (Korea), SLPM-65622 (Konami the Best), VW127-J2 (Konami the Best), SLPM-66018 (Konami Dendou Collection), VW127-J4 (Konami Dendou Collection)
Silent Hill 4: The Room;SLUS-20873 SLES-52445 SLPM-65574, VW216-J1, SLKA-25149 (Korea), SLPM-66032 (Konami the Best), VW216-J2 (Konami the Best), SLPM-55140 (Konami Dendou Selection), VW216-J4 (Konami Dendou Selection), NPJD-00022 (PS2 Classics)
Silent Hill Complete Set;SILENTSET001
Silent Hill: Origins;SLUS-21731 SLES-55147 SLKA-25422
Silent Hill: Shattered Memories;SLUS-21899 SLES-55569 SLKA-25465 (Korea), VW379-K1 (Korea), SLPM-55231, VW377-J1
Silent Line: Armored Core;SLUS-20644 SLES-52203 SLPS-25169, SLKA-25041 (Korea), SLPS-73420 (PlayStation 2 the Best), SCAJ-20011
Silent Scope;SLUS-20078 SLES-50037 SLPM-62026, VW016-J1, SLPM-62090 (Konami Best), VW016-J2 (Konami Best)
Silent Scope 2: Dark Silhouette;SLUS-20243 SLES-50284 SLPM-62085, VW041-J1, SLPM-62282 (Konami the Best), VW041-J2 (Konami the Best)
Silent Scope 3;SLUS-20514 SLES-51157 SLPM-62230, SLPM-62246 (Asia?), VW101-J1, SLPM-62410 (Konami the Best), VW101-J2 (Konami the Best), SLPM-64552
Silpheed: The Lost Planet;SLUS-20085 SLES-50193 SLPM-62015, SLPM-62228 (CapKore)
Simoun: Shoubi Sensou - Fuuin no Remersion;SLPS-25689, SLPS-25688 (First Print Limited Edition)
Simple 2000 Hello Kitty Series Vol. 1: Starlight Puzzle;SLPM-62249
Simple 2000 Hello Kitty Series Vol. 2: Minna de Sugoroku;SLPM-62250
Simple 2000 Honkaku Shikou Series Vol. 1: The Shogi;SLPM-62180
Simple 2000 Honkaku Shikou Series Vol. 2: The Igo;SLPM-62179
Simple 2000 Honkaku Shikou Series Vol. 3: The Chess;SLES-52295 SLPM-62174
Simple 2000 Honkaku Shikou Series Vol. 4: The Mahjong;SLPM-62198
Simple 2000 Honkaku Shikou Series Vol. 5: The Kiryoku Kentei;SLPM-62397
Simple 2000 Honkaku Shikou Series Vol. 6: The Card;SLES-52515 SLPM-62396
Simple 2000 Series Ultimate Vol. 15: Love * Ping Pong!;SLES-52519 SLPM-62429
Simple 2000 Series Ultimate Vol. 17: Taisen! Bakutama Poi Poi;SLPM-62468
Simple 2000 Series Ultimate Vol. 18: Love * Aerobie;SLES-52983 SLPM-62467
Simple 2000 Series Ultimate Vol. 1: Love * Smash!;SLPM-62093
Simple 2000 Series Ultimate Vol. 24: Makai Tenshou;SLPM-65329, SLPM-65872 (Simple 2000 Series)
Simple 2000 Series Ultimate Vol. 26: Love * Smash! 5.1: Tennis Robo no Gyakushuu;SLPM-62635
Simple 2000 Series Ultimate Vol. 27: Houkago no Love Beat;SLPM-65579, SLPS-25566 (Simple 2000 Series)
Simple 2000 Series Ultimate Vol. 29: K-1 Premium 2005 Dynamite;SLES-53809 SLPS-20453
Simple 2000 Series Ultimate Vol. 31: K-1 World Max 2005;SLPM-66077, SLPM-62648, SLPS-25644 (Simple 2000 Series)
Simple 2000 Series Ultimate Vol. 32: Azumi;SLPS-25465, SLPS-25647 (Simple 2000 Series)
Simple 2000 Series Ultimate Vol. 33: Ururun Quest: Koiyuuki;SLPM-66028, SLPS-25717 (Simple 2000 Series)
Simple 2000 Series Ultimate Vol. 34: Sakigake!! Otokojuku;SLPS-20436, SLPS-20484 (Simple 2000 Series)
Simple 2000 Series Ultimate Vol. 6: Love * Upper!;SLES-51865 SLPM-62296, SLKA-15028 (Korea)
Simple 2000 Series Vol. 100: The Otoko Tachi no Kijuu Houza;SLPS-20465
Simple 2000 Series Vol. 101: The Oneechanpon: The Oneechan 2 Special Edition;SLES-54569 SLPS-20466
Simple 2000 Series Vol. 102: The Fuhyou: Senjou no Inu Tach;SLES-54568 SLPS-20467
Simple 2000 Series Vol. 103: The Chikyuu Boueigun Tactics;SLES-54589 SLPS-20470
Simple 2000 Series Vol. 104: The Robot Tsuku Rouze! - Gekitou! Robot Fight;SLPS-20473
Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu;SLPS-20464
Simple 2000 Series Vol. 106: The Block Kuzushi Quest - Dragon Kingdom;SLPS-20468
Simple 2000 Series Vol. 107: The Honoo no Kakutou Banchou;SLES-54590 SLPS-20474
Simple 2000 Series Vol. 108: The Nippon Tokushubutai;SLES-54591 SLPS-20476
Simple 2000 Series Vol. 109: The Taxi 2;SLPS-20478
Simple 2000 Series Vol. 10: The Table Game Sekaihen;SLES-51625 SLPM-62218
Simple 2000 Series Vol. 110: The Toubou Prisoner;SLPS-20480
Simple 2000 Series Vol. 111: The Itadaki Rider;SLES-53778 SLPS-25703, SLKA-25349
Simple 2000 Series Vol. 112: The Tousou Highway 2: Road Warrior 2050;SLPS-20481
Simple 2000 Series Vol. 113: The Tairyou Jigoku;SLPS-20488
Simple 2000 Series Vol. 114: The Onna Okappichi Torimonochou - Oharuchan Go Go Go!;SLPS-20489
Simple 2000 Series Vol. 115: The Roomshare to Iu Seikatsu;SLPS-20492
Simple 2000 Series Vol. 116: The Neko-Mura no Ninnin - Pagu Daikan no Akugyou Sanmai;SLPS-20493
Simple 2000 Series Vol. 117: The Zerosen;SLPS-20494
Simple 2000 Series Vol. 118: The Ochimusha - Doemu Samurai Toujou;SLPS-20491
Simple 2000 Series Vol. 119: The Survival Game 2;SLPS-20497
Simple 2000 Series Vol. 11: The Offroad Buggy;SLES-51621 SLPM-62223
Simple 2000 Series Vol. 120: The Saigo no Nippon Tsuwamono;SLPS-20500
Simple 2000 Series Vol. 121: The Boku no Machidzukuri 2 - Machi-ing Maker 2.1;SLPS-20503
Simple 2000 Series Vol. 122: The Ningyo Hime Monogatari - Mermaid Prism;SLPS-25696, SLPS-25684 (Limited Edition), SLPS-25833 (Simple Series)
Simple 2000 Series Vol. 123: The Office Love Jikenbou - Reijou Tantei;SLPS-25723, SLPS-25874
Simple 2000 Series Vol. 12: The Quiz 20000;SLPM-62231
Simple 2000 Series Vol. 13: The Renai Adventure 2 - Jo no Ko no Tameno;SLPM-62234
Simple 2000 Series Vol. 14: The Billiard;SLES-51859 SLPM-62251
Simple 2000 Series Vol. 15: The Rugby;SLPM-62232
Simple 2000 Series Vol. 16: The Sniper 2;SLES-51623 SLPM-62253
Simple 2000 Series Vol. 17: The Suiri - Aratanaru 20 no Jikenbo;SLPM-62252
Simple 2000 Series Vol. 18: The Party Sugoroku;SLES-53369 SLPM-62272
Simple 2000 Series Vol. 19: The Renai Simulation - Renai Kissa Watashi ni Oma Cafe;SLPM-62270
Simple 2000 Series Vol. 1: The Table Game;SLPM-62065
Simple 2000 Series Vol. 20: The Dungeon RPG;SLES-51624 SLPM-62271
Simple 2000 Series Vol. 21: The Bishoujo Simulation RPG - Moonlight Tale;SLPM-62294
Simple 2000 Series Vol. 22: The Tsuukin Densha Utenshi - Densha de Go! 3 Tsuukinhen;SLPM-62049 (Disc 1), SLPM-62050 (Disc 2), TCPS-10039, SLPM-62295, SLPM-60142 (Trial)
Simple 2000 Series Vol. 23: The Puzzle Collection 2000-Mon;SLES-53488 SLPM-62313
Simple 2000 Series Vol. 24: The Bowling Hyper;SLES-51861 SLPM-62308
Simple 2000 Series Vol. 25: The Menkyo Shutoku Simulation;SLPM-62309
Simple 2000 Series Vol. 26: The Pinball x 3;SLES-52393 SLPM-62307
Simple 2000 Series Vol. 27: The Pro Yakyuu: 2003 Pennant Race;SLPM-62328
Simple 2000 Series Vol. 28: The Bushido - Tujigiri Ichidai; SLPM-62335
Simple 2000 Series Vol. 29: The Renai Board - Seishun 18 Radio;SLPM-62334
Simple 2000 Series Vol. 2: The Party Game;SLES-53487 SLPM-62094
Simple 2000 Series Vol. 30: The Street Baske - 3 on 3;SLES-51850 SLPM-62337
Simple 2000 Series Vol. 31: The Chikyuu Boueigun;SLES-51856 SLPM-62344
Simple 2000 Series Vol. 32: The Sensha;SLES-51855 SLPM-62345
Simple 2000 Series Vol. 33: The Jet Coaster - Yuuenchi Otsukurou!;SLES-52340 SLPM-62353
Simple 2000 Series Vol. 34: The Renai Horror Adventure - Hyouryuu Shoujo;SLPM-62343
Simple 2000 Series Vol. 35: The Helicopter;SLES-52517 SLPM-62373
Simple 2000 Series Vol. 36: The Musume Ikusei Simulation - Otousan to Issho;SLPM-62375
Simple 2000 Series Vol. 37: The Shooting: Double Shienryu;SLES-52482 SLPM-62395, SLKA-15029 (Korea)
Simple 2000 Series Vol. 38: The Yuujou Adventure: Hotaru Soul;SLPM-65393
Simple 2000 Series Vol. 39: Boku no Machi Zukuri: Machi-ing Maker++;SLUS-20377 SLES-51162 SLPM-62066, SLPM-62398
Simple 2000 Series Vol. 3: The Bass Fishing;SLUS-20428 SLES-51862 SLPM-62150
Simple 2000 Series Vol. 40: The Touyou Sandai Uranjustsu;SLPM-62352
Simple 2000 Series Vol. 41: The Volleyball;SLES-52520 SLPM-62412
Simple 2000 Series Vol. 42: The Ishu Kakutou Waza;SLES-52516 SLPM-62426
Simple 2000 Series Vol. 43: The Saiban;SLPM-62430
Simple 2000 Series Vol. 44: The Hajimete no RPG;SLPM-62336
Simple 2000 Series Vol. 45: Koi to Namida to, Tsuioku to...;SLPM-65414
Simple 2000 Series Vol. 46: The Kanji Quiz - Challenge! Kanji Kentai;SLPM-62474
Simple 2000 Series Vol. 47: The Kassen Gekigahara;SLES-53400 SLPM-62477
Simple 2000 Series Vol. 48: The Taxi: Utenshu wa Kimi da;SLES-53402 SLPM-62483
Simple 2000 Series Vol. 49: The Dodge Ball;SLES-53367 SLPM-62485
Simple 2000 Series Vol. 4: The Double Mahjong Puzzle;SLPM-62160
Simple 2000 Series Vol. 50: The Daibijin;SLES-53403 SLPM-62484
Simple 2000 Series Vol. 51: The Senkan;SLES-53401 SLPM-62497
Simple 2000 Series Vol. 52: The Chikyuu Shinryokugun: Space Raiders;SLES-51746 SLPM-62275, TCPS-10059, SLKA-15002 (Korea), SLPM-62496 (Simple 2000 Series)
Simple 2000 Series Vol. 53: The Camera Kozou;SLES-53489 SLPM-62495
Simple 2000 Series Vol. 54: The Daikaijuu;SCES-53404, SLES-53404 SLPM-62493
Simple 2000 Series Vol. 55: The Catfight: Joneko Densetsu;SLES-53408 SLPM-62494, SLKA-15041 (Korea)
Simple 2000 Series Vol. 56: The Survival Game;SLPM-62504
Simple 2000 Series Vol. 57: The Pro Yakyuu 2004; SLPM-62508
Simple 2000 Series Vol. 58: The Gekai;SLPM-62509
Simple 2000 Series Vol. 59: The Uchuujin to Hanashi Sou!;SLPM-62524
Simple 2000 Series Vol. 5: The Block Kuzushi Hyper;SLES-51713, SLES-51731 SLPM-62171, SLKA-15030 (Korea)
Simple 2000 Series Vol. 60: The Tokusatsu Henshin Hero; SLPM-62510
Simple 2000 Series Vol. 61: The Oneechanbara;SLES-53398 SLPM-62525, SLKA-15045 (Korea)
Simple 2000 Series Vol. 62: The Super Puzzle Bobble DX;SLPM-65696
Simple 2000 Series Vol. 63: The Suieitaikai;SLES-53406 SLPM-62534, SLKA-15042 (Korea)
Simple 2000 Series Vol. 64: The Splatter Action;SLES-53368 SLPM-62545
Simple 2000 Series Vol. 65: The Kyonshi Panic;SLES-53592 SLPM-62543
Simple 2000 Series Vol. 66: The Party Unou Quiz;SLPM-62556
Simple 2000 Series Vol. 67: The Suiri ~Soshite Daremo Inakunatta;SLPM-62557
Simple 2000 Series Vol. 68: The Tousou Highway: Nagoya - Tokyo;SLES-53485 SLPM-62564
Simple 2000 Series Vol. 69: The Board Game Collection;SLPM-62284, SLPM-62580 (Simple 2000 Series)
Simple 2000 Series Vol. 6: The Snowboard;SLES-51712 SLPM-62196
Simple 2000 Series Vol. 70: The Kanshikikan;SLPM-62586
Simple 2000 Series Vol. 71: The Fantasy Renai Adventure: Kanojo no Densetsu;SLPM-65874
Simple 2000 Series Vol. 72: The Ninhaza;SLES-53399 SLPM-62589
Simple 2000 Series Vol. 73: The Saiyuki Saruden;SLPM-62588
Simple 2000 Series Vol. 74: The Oujisama to Romance - Ripple no Tamago;SLPM-62340, SLPM-62579 (Simple 2000 Series)
Simple 2000 Series Vol. 75: The Tokudane;SLPM-62600
Simple 2000 Series Vol. 76: The Hanasou Eigo no Tabi;SLPM-62604
Simple 2000 Series Vol. 77: The Hanasou Kankokugo no Tab;SLPM-62605
Simple 2000 Series Vol. 78: The Uchuu Daisensou;SLES-53915 SLPM-62618
Simple 2000 Series Vol. 79: The Party Quiz: Akko ni Omakase;SLPS-20439, SLPM-62617
Simple 2000 Series Vol. 7: The Boxing - Real First Fighter;SLES-51717 SLPM-62197
Simple 2000 Series Vol. 80: The Oneechanpuruu;SLES-54461 SLPM-62638
Simple 2000 Series Vol. 81: The Chikyuu Boueigun 2;SLES-54464 SLPM-62652, SLKA-15058
Simple 2000 Series Vol. 82: The Kung Fu; SLPM-62650
Simple 2000 Series Vol. 83: The Konchuu Saishuu;SLPM-62651
Simple 2000 Series Vol. 84: The Boku ni Oma Cafe - Kimagure Strawberry Cafe;SLPM-65381, SLPM-66088 (Simple 2000 Series)
Simple 2000 Series Vol. 85: The Sekai Meisaku Gekijou Quiz;SLPM-62649
Simple 2000 Series Vol. 86: The Menkyou Shutoku Simulation;SLPS-20431
Simple 2000 Series Vol. 87: The Nadesico;SLES-54460 SLPS-20441
Simple 2000 Series Vol. 88: The Mini Bijo Keikan;SLPS-20440
Simple 2000 Series Vol. 89: The Party Game 2;SLES-54458 SLPS-20446
Simple 2000 Series Vol. 8: The Tennis;SLES-51860 SLPM-62219
Simple 2000 Series Vol. 90: The Oneechanbara 2;SLPS-20444
Simple 2000 Series Vol. 91: The All Star Kakutou;SLES-54459 SLPS-20430
Simple 2000 Series Vol. 92: The Noroi no Game;SLPS-25581
Simple 2000 Series Vol. 93: The Unou Drill;SLPS-20454
Simple 2000 Series Vol. 94: The Aka-Champion - Come On Baby;SLPS-20455, SCKA-10006 (BigHit, Korea)
Simple 2000 Series Vol. 95: The Zombie vs. Kyuukyuusha;SLES-54462 SLPS-20456
Simple 2000 Series Vol. 96: The Kaizoku - Gaikotsu Ippaire~tsu!;SLES-54476 SLPS-20458
Simple 2000 Series Vol. 97: The Koi no Engine;SLPS-25632
Simple 2000 Series Vol. 98: The Roman Sabou;SLPS-25631
Simple 2000 Series Vol. 99: The Genshijin;SLUS-21592 SLES-54475 SLPS-20461
Simple 2000 Series Vol. 9: The Renai Adventure - Bittersweet Fools;SLPM-62207
Simple 2000 Ultimate Series Vol. 11: Wandaba Style - Totsugeki! Mix Ki Juice;D3PM-0001 (DX Mix Pack), SLPM-65350
Simple 2000 Ultimate Series Vol. 16: Sengoku vs. Gendai;SLES-52955 SLPM-62459
Simple 2000 Ultimate Series Vol. 19: Agaki;SLPM-62269, SLPM-62544 (Simple 2000 Series)
Simple 2000 Ultimate Series Vol. 20: Love * Mahjong! 2;SLPM-62542
Simple 2000 Ultimate Series Vol. 21: Kenka Joutou! Yankee Banchou;SLES-53407 SLPM-62558
Simple 2000 Ultimate Series Vol. 22: Stylish Mahjong Usagi;SLPM-62571
Simple 2000 Ultimate Series Vol. 23: Project Minerva Professional;SLES-52472 SLPM-65344, SLPM-65873 (Simple 2000 Series)
Simple 2000 Ultimate Series Vol. 25: Chou-Saisoku! Zokusha King BU no BU;SLPM-62616
Simple 2000 Ultimate Vol. 10: Love*Songs;SLPM-65352
Simple 2000 Ultimate Vol. 12: Street Golfer;SLES-53847 SLPM-62181, SLPM-62374 (Simple 2000 Series)
Simple 2000 Ultimate Vol. 13: Kurusou! Tansha King;SLES-52518 SLPM-62399
Simple 2000 Ultimate Vol. 14: Topai! Dramatic Mahjong;SLPM-62431
Simple 2000 Ultimate Vol. 28: Bousou! Kenka Grand Prix, Drive to Survive;SLUS-21109 SLES-53152 SLPS-20445
Simple 2000 Ultimate Vol. 2: Edit Racing;SLPM-65107
Simple 2000 Ultimate Vol. 30: Kourin! Zokushi God;SLES-54545 SLPS-20452
Simple 2000 Ultimate Vol. 3: Saisoku! Zokusha King;SLES-51622 SLPM-62224
Simple 2000 Ultimate Vol. 4: Urawaza Ikasa Mahjong Machi;SLPM-62233
Simple 2000 Ultimate Vol. 5: Love * Mahjong;SLPM-62248
Simple 2000 Ultimate Vol. 7: Saikyou! Shiro Biking - Security Police;SLES-51864 SLPM-62314
Simple 2000 Ultimate Vol. 8: Gekitou! Meiro King;SLES-51863 SLPM-62324
Simple 2000 Ultimate Vol. 9: Bakusou! Manhattan - Runabout 3;SLES-51223 SLPS-25108, SLPM-65345, SCPS-55027
Sinbad Adventure wa Enomoto Kanako de Dou Desu ka;SLPS-25420, SLPS-25397 (Limited Edition)
SingStar;SCES-52268 (w/Microphone), SCES-52564, SCES-52565, SCES-52566, SCES-52299, SCED-52461 (Demo, Press Kit), SCES-55538 (Demo)
SingStar '80s;SCUS-97622 (with Microphone), SCUS-97616 (w/Microphones), SCUS-97618 SCES-53604, SCES-53795, SCES-53602, SCES-53603, SCES-53605, SCES-53606, SCES-53607, SCES-53609, SCES-53610
SingStar '90s;SCUS-97636, SCUS-97626 (w/Microphones) SCES-54599, SCES-54909
SingStar ABBA;SCUS-97642 SCES-55435, SCES-55436 (France), SCES-55437 (Germany), SCES-55438 (Spain), SCES-55439 (Italy)
SingStar Afrikaanse Treffers;SCES-55478
SingStar Amped;SCUS-97612, SCUS-97611 (w/Microphones) SCES-55176 (Bundled with SingStar Microphones and USB Converter), SCES-55159
SingStar Anthems;SCES-54131, SLES-54131
SingStar Apres-Ski Party;SCES-54601
SingStar Apres-Ski Party 2;SCES-55641
SingStar Bollywood;SCES-54823
SingStar Boy Bands vs Girl Bands;SCES-55178, SCES-55361
SingStar Cantautori Italiani;SCES-55640
SingStar Chart Hits;SCES-55611
SingStar Chartbreaker;SCES-55570
SingStar Clasicos;SCES-55182
SingStar Country;SCUS-97651, SCUS-97650 (w/Microphones)
SingStar Deutsch Rock-Pop;SCES-54128
SingStar Deutsch Rock-Pop Vol.2;SCES-54741
SingStar Die Toten Hosen;SCES-54600
SingStar Fussballhits;SCES-55617
SingStar Hottest Hits;SCES-55160, SCES-55362
SingStar Italian Greatest Hits;SCES-55059
SingStar Italian Party;SCES-54869
SingStar Italian Party 2;SCES-55181
SingStar Kent;SCES-55618
SingStar La Edad de Oro del Pop Espanol;SCES-54129
SingStar Latino;SCUS-94346, SCUS-97660 SCES-54768 (Spain), SCES-54769 (Portugal)
SingStar Legends;SCUS-97640 SCES-54191, SCES-54325, SCES-54197, SCES-54198, SCES-54257, SCES-54329, SCES-54330, SCES-54353
SingStar Made in Germany;SCES-55564
SingStar Mallorca Party;SCES-55489
SingStar Mecano;SCES-55540
SingStar Miliki;SCES-55566
SingStar Motown;SCES-55549, SCES-55552 (Germany), SCES-55551 (Italy), SCES-55553 (Netherlands)
SingStar Norsk pa Norsk;SCES-54078
SingStar Operacion Triunfo;SCES-55173 (Bundled with Microphones)
SingStar Party;SCES-52828, SCES-52826, SCES-52830 (w/ Microphone), SCES-52827, SCES-52829
SingStar Party Hits;SCES-55056, SCES-55077 (Australia), SCES-55057 (Germany), SCES-55058 (Spain, Bundled with Microphones), SCES-55127 (Netherlands), SCES-55061 (Poland)
SingStar Patito Feo;SCES-55621
SingStar Pop;SCUS-97591, SCUS-97580 (w/Microphone), SCUS-97580B (Bundle) SCES-53323, SCES-53180, SCES-53185, SCES-53183, SCES-53184, SCES-53178, SCES-53179, SCES-53565, SCES-53182, SCES-53181
SingStar Pop 2009;SCES-55527 (Spain), SCES-55568 (Sweden), SCES-55521 (Finland)
SingStar Pop Hits;SCES-54570, SCES-54571, SCES-54572, SCES-54573 (Nordic), SCES-54574, SCES-54575, SCES-54576, SCES-54613, SCES-54773 (Australia)
SingStar Pop Hits 2;SCES-54764
SingStar Pop Hits 3;SCES-55062
SingStar Pop Hits 4;SCES-55158
SingStar Pop Vol. 2;SCUS-97649
SingStar Queen;SCUS-97643 SCES-55453, SCES-55454 (Germany), SCES-55455 (Spain), SCES-55485 (Italy)
SingStar R&B;SCES-54760, SCES-54762, SCES-54761
SingStar Rock Ballads;SCES-54597, SCES-54910
SingStar Rocks!;SCUS-97571 (with Microphone), SCUS-97590 SCES-53889, SCES-53890, SCES-53891 (Germany), SCES-53893 (The Netherlands), SCES-53894, SCES-53895, SCES-53897, SCES-53898, SCES-54025 (Ireland)
